id,artist,album,title,key,time_signature,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_played,rate
spotify:track:2NI5mLDD0yCa8ZSg04mIap,Hooverphonic,Looking For Stars,Feathers And Tar,11,4,0.447,0.494,-8.004,0.0622,0.574,0.00359,0.147,0.161,90.0,179800.0,1,6.0000
spotify:track:7sNwOV5etPScDNJtWdCaDP,Hooverphonic,Looking For Stars,Sleepless,7,4,0.525,0.637,-5.945,0.0283,0.0074,0.0188,0.114,0.262,89.977,163293.0,1,4.0000
spotify:track:1qdp15TKlJiYPkkGtaWoMo,Hooverphonic,Looking For Stars,Long Time Gone,7,4,0.581,0.806,-4.975,0.0361,0.145,0.213,0.188,0.298,140.0,255613.0,1,4.0000
spotify:track:0V9gkVoQl3MzNRgHobbeyz,Hooverphonic,In Wonderland,In Wonderland,4,4,0.538,0.591,-7.034,0.0291,0.227,0.0992,0.127,0.207,120.132,277587.0,1,5.0000
spotify:track:56pWs8fR3I4wgKLl9QiZiw,Hooverphonic,In Wonderland,I Like the Way I Dance,4,4,0.629,0.812,-4.76,0.0391,0.0824,0.0628,0.11,0.192,128.059,184200.0,1,5.0000
spotify:track:6zKLpTcPPwXEeheIvJzxsU,Hooverphonic,In Wonderland,Cocaine Kids,9,4,0.596,0.886,-4.004,0.0811,0.00338,0.00177,0.109,0.769,139.925,197493.0,1,3.0000
spotify:track:7nfK4WW6NWFwne8CSVbx2P,Hooverphonic,In Wonderland,Deep Forest,9,3,0.577,0.68,-6.879,0.0405,0.621,0.000735,0.0991,0.0905,86.997,203107.0,1,5.0000
spotify:track:0nABEBHa0qNJA3X1Kq6T0o,Hooverphonic,In Wonderland,Thin Line,2,4,0.622,0.674,-3.968,0.0272,0.216,0.0,0.154,0.72,82.532,193093.0,1,4.0000
spotify:track:79OyE5xa9pYirV2mhRANx7,Hooverphonic,In Wonderland,Hiding in a Song,0,4,0.554,0.723,-3.905,0.0274,0.0363,0.46,0.388,0.473,92.968,189907.0,1,5.0000
spotify:track:4UX3e4bKeBmaU9F0hls4wv,Hooverphonic,In Wonderland,Praise Be,4,4,0.424,0.862,-2.874,0.0585,0.0152,0.000447,0.154,0.39,115.033,182600.0,1,4.0000
spotify:track:4cCtUsV9G0PNGi1v2ybR8k,Hooverphonic,In Wonderland,God's Gift,2,4,0.565,0.843,-5.154,0.0492,0.00731,0.0313,0.391,0.414,80.994,212093.0,1,5.0000
spotify:track:3mxwES91pKSdqzMU88XsCE,Hooverphonic,In Wonderland,Moving,2,4,0.43,0.691,-5.274,0.031,0.00912,0.0376,0.107,0.171,92.901,218720.0,1,4.0000
spotify:track:5LNgh4fRWylcYNsKiLgYgV,Hooverphonic,Reflection,ABC of Apology,7,4,0.44,0.885,-4.684,0.0444,0.00642,0.0,0.173,0.621,159.959,181107.0,1,4.0000
spotify:track:2voMHaF88UBoZIKCL2Fi5F,Hooverphonic,Reflection,Ether,7,4,0.36,0.757,-4.399,0.0322,0.217,0.000409,0.207,0.577,169.91,170787.0,1,5.0000
spotify:track:4hV3qu8o72XHEqcEZfkDjm,Hooverphonic,Reflection,Radio Silence,4,3,0.598,0.592,-3.928,0.0282,0.0703,0.0,0.133,0.319,106.967,185493.0,1,4.0000
spotify:track:2jiPHbFX5XM8TjaTfYJ0eo,Milky Chance,Sadnecessary,Stolen Dance,11,4,0.885,0.581,-8.813,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684.0,1,8.0000
